"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Alabama,Season 2019-20,690,174,6,0,5,123,0,0
States,Alaska,Season 2019-20,1675,102,25,6,375,0,0,0
States,Arizona,Season 2019-20,1676,632,33,0,38,560,8,0
States,Arkansas,Season 2019-20,782,146,1,4,54,45,0,0
States,California,Season 2019-20,10933,3055,272,182,475,1742,36,0
States,Colorado,Season 2019-20,1824,552,53,10,145,187,0,0
States,Connecticut,Season 2019-20,1327,272,69,0,2,410,15,0
States,Delaware,Season 2019-20,2716,507,26,14,44,359,2,0
States,District of Columbia,Season 2019-20,898,138,18,0,0,120,2,0
States,Florida,Season 2019-20,X,X,X,X,X,X,X,X
States,Georgia,Season 2019-20,1981,646,12,3,54,286,5,0
States,Hawaii,Season 2019-20,3381,1283,64,19,3,441,1,1
States,Idaho,Season 2019-20,2153,546,79,2,49,913,12,0
States,Illinois,Season 2019-20,2680,376,22,60,173,268,0,0
States,Indiana,Season 2019-20,755,283,5,2,28,250,5,0
States,Iowa,Season 2019-20,2496,528,61,21,10,629,4,0
States,Kansas,Season 2019-20,277,89,0,2,21,7,0,0
States,Kentucky,Season 2019-20,420,124,2,0,8,88,3,0
States,Louisiana,Season 2019-20,1525,255,43,4,5,293,0,0
States,Maine,Season 2019-20,872,230,30,1,3,229,4,0
States,Maryland,Season 2019-20,6793,1893,143,6,18,1364,20,0
States,Massachusetts,Season 2019-20,681,324,30,1,20,5,0,0
States,Michigan,Season 2019-20,1132,490,31,6,95,301,0,0
States,Minnesota,Season 2019-20,3358,1196,28,73,13,502,27,0
States,Mississippi,Season 2019-20,798,221,19,0,1,171,0,0
States,Missouri,Season 2019-20,459,62,2,0,45,32,0,0
States,Montana,Season 2019-20,1226,198,44,2,6,307,0,0
States,Nebraska,Season 2019-20,403,112,4,0,14,27,2,0
States,Nevada,Season 2019-20,1600,272,34,3,158,135,0,0
States,New Hampshire,Season 2019-20,414,73,14,3,1,61,1,0
States,New Jersey,Season 2019-20,994,177,42,3,44,6,0,0
States,New Mexico,Season 2019-20,2196,389,10,6,27,325,1,0
States,New York,Season 2019-20,2335,578,99,9,214,231,23,0
States,North Carolina,Season 2019-20,2074,224,19,1,36,162,7,0
States,North Dakota,Season 2019-20,1022,278,20,3,60,384,2,0
States,Ohio,Season 2019-20,3530,936,16,5,266,393,0,0
States,Oklahoma,Season 2019-20,1457,213,3,4,104,57,0,0
States,Oregon,Season 2019-20,646,126,6,0,313,60,1,0
States,Pennsylvania,Season 2019-20,1752,255,47,8,307,34,1,0
States,Rhode Island,Season 2019-20,307,81,16,3,5,30,0,0
States,South Carolina,Season 2019-20,2124,489,18,4,97,280,6,0
States,South Dakota,Season 2019-20,1758,531,6,13,53,481,3,0
States,Tennessee,Season 2019-20,1441,260,5,1,0,116,1,0
States,Texas,Season 2019-20,2894,555,24,12,238,189,0,0
States,Utah,Season 2019-20,1236,513,22,3,25,278,6,0
States,Vermont,Season 2019-20,198,80,26,1,0,29,0,0
States,Virginia,Season 2019-20,2370,581,28,6,160,458,11,0
States,Washington,Season 2019-20,1176,277,37,35,182,207,3,0
States,West Virginia,Season 2019-20,724,193,1,4,1,172,0,0
States,Wisconsin,Season 2019-20,4729,441,93,138,7,610,10,0
States,Wyoming,Season 2019-20,6771,50,1,2,4,25,0,0
States,Puerto Rico,Season 2019-20,758,336,52,0,59,65,6,0
States,Virgin Islands,Season 2019-20,X,X,X,X,X,X,X,X
States,New York City,Season 2019-20,X,X,X,X,X,X,X,X
States,Alabama,Season 2020-21,15010,0,0,1,5,0,0,0
States,Alaska,Season 2020-21,226,1,2,2,2,0,0,0
States,Arizona,Season 2020-21,261,1,0,0,0,1,0,0
States,Arkansas,Season 2020-21,262,0,0,0,0,0,0,0
States,California,Season 2020-21,3194,0,3,10,6,1,3,0
States,Colorado,Season 2020-21,2231,0,0,0,0,0,0,0
States,Connecticut,Season 2020-21,199,0,0,0,0,1,0,0
States,Delaware,Season 2020-21,641,0,1,0,0,0,0,0
